Code_ID,Country_Code,Country,Year,OSI_Value,TII_Value,HCI_Value,E_GOV_Index,Internet_Access_Index,Internet_Affordability_Index,Internet_Quality_Index,Internet_Index,Digital_Usage_Index,Digital_Access_Index,Digital_Commerce_Behavior_Index,Digital_Payments_Index,FI_Structure_Access_Index,FI_behavior_Usage_Index,FI_Index,Digital_Transformation_Index
ARE_2015,ARE,United Arab Emirates,2015,,,,,0.4993293747418925,0.854614362080268,,0.6769718684110803,,,,,,,,0.6769718684110803
ARE_2016,ARE,United Arab Emirates,2016,0.8913,0.68813,0.67516,0.7515299999999999,0.5001736308436707,0.9102715940904348,,0.7052226124670528,,,,,,,,0.7283763062335263
ARE_2017,ARE,United Arab Emirates,2017,,,,,0.6655067759241752,0.8943312913882466,,0.779919033656211,0.8084224698036285,0.5629566104534235,0.6526068316968608,0.6746619706513043,0.8402516641564985,0.5468039124000716,0.6935277882782851,0.7272905021537577
ARE_2018,ARE,United Arab Emirates,2018,0.9444,0.8564,0.6877,0.8295,0.6935263517814665,0.8921572287747116,,0.7928417902780891,,,,,,,,0.8111708951390446
ARE_2019,ARE,United Arab Emirates,2019,,,,,0.7173423831732753,0.8921572287747116,0.1803569870662791,0.5966188663380887,,,,,,,,0.5966188663380887
ARE_2020,ARE,United Arab Emirates,2020,0.9,0.9344,0.732,0.8554666666666666,0.9242486545592606,0.9019261203056272,0.3794967163579262,0.7352238304076048,,,,,,,,0.7953452485371357
ARE_2021,ARE,United Arab Emirates,2021,,,,,0.9317045133882118,0.9232344409558366,0.7142640538525551,0.8564010027322011,0.714362510620381,0.3303409174698441,0.317497918259469,0.4540671154498981,0.8061224734925929,0.1882762421411051,0.497199357816849,0.6552340590910496
ARE_2022,ARE,United Arab Emirates,2022,0.9014,0.9306,0.8711,0.9010333333333334,0.9096988299506186,0.8957383944734596,0.6476811789615633,0.8177061344618805,,,,,,,,0.859369733897607
ARE_2023,ARE,United Arab Emirates,2023,,,,,0.9047542210320398,0.9627691949741852,0.806804321110566,0.8914425790389303,,,,,,,,0.8914425790389303
ARE_2024,ARE,United Arab Emirates,2024,0.91627,1.0,0.94355,0.9532733333333332,0.9018647762546008,0.969790532290123,1.0,0.9572184361815744,,,,,,,,0.9552458847574539
EGY_2015,EGY,"Egypt, Arab Rep.",2015,,,,,0.1612348165824578,0.6310428402267964,,0.3961388284046271,,,,,,,,0.3961388284046271
EGY_2016,EGY,"Egypt, Arab Rep.",2016,0.47101,0.30246,0.60476,0.4594099999999999,0.1824537532865435,0.7609894695568387,,0.4717216114216911,,,,,,,,0.4655658057108455
EGY_2017,EGY,"Egypt, Arab Rep.",2017,,,,,0.2066206070158986,0.8658146200480434,,0.5362176135319711,0.033366350675626,0.0,0.0,0.0111221168918753,0.0738441514905516,0.0350208945103436,0.0544325230004476,0.27366986521192316
EGY_2018,EGY,"Egypt, Arab Rep.",2018,0.5347,0.3222,0.6072,0.4880333333333333,0.2292856256836047,0.6173115399959117,,0.4232985828397582,,,,,,,,0.45566595808654575
EGY_2019,EGY,"Egypt, Arab Rep.",2019,,,,,0.2850619508061815,0.6173115399959117,0.0066798628384887,0.3030177845468606,,,,,,,,0.3030177845468606
EGY_2020,EGY,"Egypt, Arab Rep.",2020,0.5706,0.4683,0.6192,0.5527,0.3635346589007879,0.5995520858585789,0.0232201142803245,0.3287689530132304,,,,,,,,0.4407344765066152
EGY_2021,EGY,"Egypt, Arab Rep.",2021,,,,,0.3733409892117627,0.6130747001755167,0.0339793833733613,0.3401316909202135,0.0,0.0323666725172251,0.0064187493974952,0.0129284739715734,0.0,0.0,0.0,0.17653008244589344
EGY_2022,EGY,"Egypt, Arab Rep.",2022,0.573,0.5579,0.6375,0.5894666666666667,0.3874107485308837,0.6424672472959505,0.0368192933143122,0.3555657630470488,,,,,,,,0.47251621485685774
EGY_2023,EGY,"Egypt, Arab Rep.",2023,,,,,0.4048886860601218,0.7007857414629063,0.0467445793659186,0.3841396689629823,,,,,,,,0.3841396689629823
EGY_2024,EGY,"Egypt, Arab Rep.",2024,0.70016,0.69456,0.61503,0.6699166666666666,0.4228795703959487,0.7106074365122907,0.0622168469596538,0.3985679512892977,0.2042540317239639,0.3980265487526909,0.0413303567302493,0.214536979068968,0.2166702109895279,0.0548984625496602,0.1357843367695941,0.42767386567497745
GBR_2015,GBR,United Kingdom,2015,,,,,0.7014970172888484,0.9645950494413708,,0.8330460333651095,,,,,,,,0.8330460333651095
GBR_2016,GBR,United Kingdom,2016,1.0,0.81766,0.94018,0.91928,0.7174282738649946,0.981943230885639,,0.8496857523753167,,,,,,,,0.8844828761876584
GBR_2017,GBR,United Kingdom,2017,,,,,0.7128749832394202,0.8975930912389657,,0.805234037239193,0.9548658502184684,,1.0,0.9774329251092342,0.9530283551152008,1.0,0.9765141775576004,0.8913334811742135
GBR_2018,GBR,United Kingdom,2018,0.9792,0.8004,0.92,0.8998666666666666,0.7391327815733022,0.8661942868560332,,0.8026635342146677,,,,,,,,0.8512651004406672
GBR_2019,GBR,United Kingdom,2019,,,,,0.7569277088509679,0.8554697986895188,0.115673141084482,0.5760235495416562,,,,,,,,0.5760235495416562
GBR_2020,GBR,United Kingdom,2020,0.9588,0.9195,0.9292,0.9358333333333334,0.7765462639442221,0.786927436316649,0.148355528657361,0.570609742972744,,,,,,,,0.7532215381530387
GBR_2021,GBR,United Kingdom,2021,,,,,0.814189410411005,0.8813790345519776,0.2326761001330751,0.6427481816986859,1.0,,0.8572346501802103,0.9286173250901052,1.0,0.8925027284159326,0.9462513642079664,0.7856827533943955
GBR_2022,GBR,United Kingdom,2022,0.8859,0.9186,0.9369,0.9138,0.8159867646021226,0.8988367461212977,0.3043166509983026,0.6730467205739076,,,,,,,,0.7934233602869538
GBR_2023,GBR,United Kingdom,2023,,,,,0.8221124730953577,0.912809019027548,0.3731024191164864,0.7026746370797974,,,,,,,,0.7026746370797974
GBR_2024,GBR,United Kingdom,2024,0.95349,0.97467,0.94498,0.9577133333333334,0.8259403502572954,0.9121055224304664,0.470324909671911,0.7361235941198908,,,,,0.993377082449692,,0.993377082449692,0.8469184637266121
IND_2015,IND,India,2015,,,,,0.0,0.1420702074425813,,0.0710351037212906,,,,,,,,0.0710351037212906
IND_2016,IND,India,2016,0.74638,0.14298,0.50189,0.4637499999999999,0.0192968322150888,0.1364960163086842,,0.0778964242618864,,,,,,,,0.2708232121309431
IND_2017,IND,India,2017,,,,,0.0410521709437419,0.0645942647831357,,0.0528232178634388,0.1075769813776196,0.0058349583305536,,0.0567059698540866,0.7249979728812617,0.140901065458905,0.4329495191700833,0.0547645938587627
IND_2018,IND,India,2018,0.9514,0.2009,0.5484,0.5669000000000001,0.0681161225832866,0.6304923074752989,,0.3493042150292927,,,,,,,,0.4581021075146464
IND_2019,IND,India,2019,,,,,0.1215308515437188,0.6373535231347768,0.0355201309759152,0.2648015018848036,,,,,,,,0.2648015018848036
IND_2020,IND,India,2020,0.8529,0.3515,0.5848,0.5963999999999999,0.1871442429631088,0.5228880076336468,0.0692554223618945,0.2597625576528834,,,,,,,,0.42808127882644165
IND_2021,IND,India,2021,,,,,0.2165287033261062,0.5767524325071005,0.116650892460304,0.3033106760978369,0.1865804636586248,0.2491462860418137,0.0809464422438922,0.1722243973147769,0.6925558381457213,0.1155399006284164,0.4040478693870689,0.2377675367063069
IND_2022,IND,India,2022,0.7934,0.3954,0.5761,0.5882999999999999,0.2490350383046453,0.6288679490492604,0.1400994847236241,0.3393341573591766,,,,,,,,0.46381707867958827
IND_2023,IND,India,2023,,,,,0.2762072748815351,0.624717841697065,0.3305689892133551,0.4104980352639851,,,,,,,,0.4104980352639851
IND_2024,IND,India,2024,0.81842,0.57004,0.61487,0.6677766666666667,0.3007368104822539,0.6555643738306745,0.3408373222095107,0.4323795021741463,0.3578585319538249,0.6139217197647309,0.1905867768525681,0.3874556761903747,0.8515132735627405,0.2314507975599057,0.5414820355613231,0.4958706150103959
SAU_2015,SAU,Saudi Arabia,2015,,,,,0.4286228616563927,0.7949404829553274,,0.61178167230586,,,,,,,,0.61178167230586
SAU_2016,SAU,Saudi Arabia,2016,0.67391,0.57334,0.79946,0.6822366666666667,0.4423238483456038,0.8724918441585888,,0.6574078462520963,,,,,,,,0.6698222564593814
SAU_2017,SAU,Saudi Arabia,2017,,,,,0.5577513074029613,0.7655058349173981,,0.6616285711601797,0.5188003245014312,,0.3111602821186558,0.4149803033100435,0.6119269736336408,0.2096242324359137,0.4107756030347772,0.5383044372351116
SAU_2018,SAU,Saudi Arabia,2018,0.7917,0.5339,0.8101,0.7119,0.6065358952993576,0.8062540053046052,,0.7063949503019814,,,,,,,,0.7091474751509907
SAU_2019,SAU,Saudi Arabia,2019,,,,,0.6247466556321862,0.8062540053046052,0.0933604330125787,0.5081203646497902,,,,,,,,0.5081203646497902
SAU_2020,SAU,Saudi Arabia,2020,0.6882,0.8442,0.8648,0.7990666666666666,0.6953486378844037,0.673177334966428,0.2449134177828279,0.5378131302112198,,,,,,,,0.6684398984389432
SAU_2021,SAU,Saudi Arabia,2021,,,,,0.7784582448885807,0.5780562237626851,0.3194994034108395,0.5586712906873684,0.6743820915281411,,0.8264765385977902,0.7504293150629657,0.6481915846922665,0.4841267073484903,0.5661591460203783,0.6545503028751671
SAU_2022,SAU,Saudi Arabia,2022,0.822,0.8735,0.8662,0.8539,0.8493636915939403,0.4878868796354021,0.3442440670957493,0.5604982127750305,,,,,,,,0.7071991063875153
SAU_2023,SAU,Saudi Arabia,2023,,,,,0.9025271978351962,0.6780217503177708,0.3613448622659754,0.6472979368063142,,,,,,,,0.6472979368063142
SAU_2024,SAU,Saudi Arabia,2024,0.98995,0.98411,0.90666,0.96024,0.9282931396507368,0.9284324371649276,0.3978956689628815,0.7515404152595154,0.7031270219518096,1.0,0.7431149345274997,0.8154139854931031,0.7106950518612812,0.4801186918285721,0.5954068718449267,0.8423981335842061
